Wall time,Step,Value
1634775723.1609747,10001,-233.54031372070312
1634775755.20787,20001,-208.60328674316406
1634775795.319554,30001,-189.81985473632812
1634775834.1856434,40001,-171.51275634765625
1634775871.952741,50001,-148.89073181152344
1634775910.5549166,60001,-117.3543472290039
1634775949.1200845,70001,-92.92135620117188
1634775991.119199,80001,-69.47359466552734
1634776032.8984244,90001,-35.586280822753906
1634776070.4982607,100001,-16.90955352783203
1634776108.4461873,110001,-6.7422285079956055
1634776145.0964668,120001,6.951678276062012
1634776182.7097113,130001,24.417394638061523
1634776220.3941708,140001,33.308563232421875
1634776258.1397305,150001,41.25867462158203
1634776292.8065696,160001,58.074668884277344
1634776329.6021132,170001,78.93274688720703
1634776363.692979,180001,98.2142562866211
1634776399.0523682,190001,101.74251556396484
1634776432.5518773,200001,117.69047546386719
1634776468.884189,210001,118.66372680664062
1634776505.644731,220001,110.0747299194336
1634776537.5372512,230001,119.75188446044922
1634776570.6852453,240001,97.14096069335938
1634776603.044655,250001,90.29488372802734
1634776636.3415024,260001,86.09596252441406
1634776669.6583025,270001,110.14439392089844
1634776702.7402627,280001,106.95740509033203
1634776736.1136084,290001,121.86036682128906
1634776768.4370744,300001,132.29815673828125
1634776801.6582215,310001,126.18659210205078
1634776834.4039893,320001,139.01858520507812
1634776868.6065798,330001,141.2056884765625
1634776905.0512245,340001,142.68341064453125
1634776937.350405,350001,129.52313232421875
1634776970.1297982,360001,145.9864501953125
1634777001.0517156,370001,142.28492736816406
1634777032.2497933,380001,141.79214477539062
1634777062.7918904,390001,133.55963134765625
1634777094.524093,400001,135.6536102294922
1634777125.2977746,410001,147.82688903808594
1634777155.045108,420001,135.961669921875
1634777184.928296,430001,162.7771453857422
1634777214.808321,440001,149.69728088378906
1634777244.4465542,450001,133.23643493652344
1634777275.427266,460001,136.85182189941406
1634777304.8487434,470001,138.9739227294922
1634777334.4531407,480001,127.44313049316406
1634777364.3342915,490001,141.37921142578125
